Protein.Group,Protein.Names,Genes,First.Protein.Description,PD2_F1,PD2_F2,PD3_F1,PD3_F2,PD5_F1,PD5_F2,PD13_F1,PD13_F2,PD14_F1,PD14_F2,PD1_F1,PD1_F2,PD7_F1,PD7_F2,PD9_F1,PD9_F2,PD10_F1,PD10_F2,PD12_F1,PD12_F2,CON4_F1,CON4_F2,CON5_F1,CON5_F2,CON6_F1,CON6_F2,CON7_F1,CON7_F2,CON8_F1,CON8_F2,CON10_F1,CON10_F2,CON12_F1,CON12_F2,CON13_F1,CON13_F2,CON14_F1,CON14_F2,CON15_F1,CON15_F2
Q9NR28,DBLOH_HUMAN,DIABLO,Diablo IAP-binding mitochondrial protein,41054500,93973800,38883100,164457000,29643200,106453000,28283700,101102000,42341500,113018000,39997500,112845000,58738600,149011000,32631500,92934200,37180600,115103000,26242000,102424000,30193100,83223400,37058300,132239000,51388800,133602000,37033100,91598500,40556900,48563500,42490600,173133000,63122300,227876000,63364800,150752000,67078900,123733000,43538800,100334000
Q9NR30,DDX21_HUMAN,DDX21,Nucleolar RNA helicase 2,NA,696358,NA,733101,177119,565306,NA,1035720,NA,887317,271752,870862,NA,418589,313456,1250970,NA,425275,309922,888747,387792,2484340,NA,889167,NA,526947,1914340,967713,361629,NA,340030,498951,NA,NA,NA,342462,NA,354460,608691,1259610
Q9NR31,SAR1A_HUMAN,SAR1A,Small COPII coat GTPase SAR1A,3250600,7362570,12881600,10927800,9967730,16343400,9044570,11867600,8007820,11714600,14495400,15793300,4187140,9097960,8739240,9050900,18626800,18660900,9438840,13771500,7882600,13494700,16918500,12291600,8610400,14467000,19056200,26409200,14924100,5863370,11047800,6717790,2437370,8855770,2950980,4513270,7277500,12387200,35277700,25123100
Q9NR45,SIAS_HUMAN,NANS,Sialic acid synthase,10246100,9411210,29259500,22045200,30005400,20920300,18456300,12414200,29326900,18379500,34707100,20270000,14192900,7863970,25656600,17326400,27837500,19630400,32493600,24730000,23016900,15613700,27618000,14672600,22970000,20550000,28271800,12525600,28978000,18115100,21480300,18274300,14435700,13661000,6138290,5465950,17678200,14633800,20090600,11743300
Q9NR46,SHLB2_HUMAN,SH3GLB2,Endophilin-B2,37249900,38152400,38328500,44923600,32032800,35609100,27569700,46441800,40704100,34404100,36108900,35951500,33259600,65781500,49193800,35246300,46662800,68839300,27118700,34988200,38519100,75829000,41432900,51866400,57682100,74315000,64457300,50859900,55318500,42950300,57020000,38806600,41562100,59845300,29121300,37855700,48045100,54903000,70371700,43035000
Q9NR50,EI2BG_HUMAN,EIF2B3,Translation initiation factor eIF2B subunit gamma,NA,59565.7,NA,55348.8,NA,106337,NA,NA,31609,93332.5,NA,110599,NA,68727.9,NA,86240.5,NA,52017.5,NA,62448.5,NA,68624,NA,NA,37936.1,67454.7,107064,111420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115921,198397
Q9NR56;Q5VZF2,MBNL1_HUMAN;MBNL2_HUMAN,MBNL1;MBNL2,Muscleblind-like protein 2,NA,17053.6,NA,NA,28029.4,29876.1,NA,27681.9,21004,26135.9,23640.7,47046.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18351.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18164.7,18698.8
Q9NR77,PXMP2_HUMAN,PXMP2,Peroxisomal membrane protein 2,NA,NA,NA,NA,NA,22686.4,NA,25721.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,40425.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48696
Q9NR80,ARHG4_HUMAN,ARHGEF4,Rho guanine nucleotide exchange factor 4,45725,102019,163691,NA,279762,242596,116464,NA,NA,173753,229158,320876,NA,253100,157372,152197,483242,596299,NA,369449,112786,138317,148310,239667,324266,515902,651312,594479,472257,NA,NA,NA,NA,153277,NA,NA,111104,168783,447225,996562
Q9NRA0,SPHK2_HUMAN,SPHK2,Sphingosine kinase 2,NA,262763,NA,NA,166383,563898,NA,422542,NA,463617,NA,611602,NA,NA,NA,877369,NA,455690,NA,558200,NA,390648,NA,NA,NA,540732,94651.5,761420,169311,309853,NA,252110,NA,561436,NA,NA,NA,413044,323226,1766050
Q9NRD1,FBX6_HUMAN,FBXO6,F-box only protein 6,NA,32608.4,40912.5,77548.9,42231.7,87479.9,39698.6,76894.8,52102,65172.8,50474.3,84149.8,19549.1,39780.4,40189.1,60484.8,80210.9,92817.7,82059.8,133148,35963.1,75200.6,48767.4,81370.6,40137.3,44492.3,85604.6,74856.4,48579.1,164291,31885.3,41363.5,34685.9,53553,12565.2,10812,47239.1,48261.5,101788,75524.1
Q9NRD5,PICK1_HUMAN,PICK1,PRKCA-binding protein,NA,459059,NA,578686,202971,987558,NA,536005,164082,664347,NA,856940,NA,665145,241696,1141200,NA,2079610,NA,901295,NA,1112720,NA,270879,NA,1115200,1124350,2759830,690581,NA,NA,384023,NA,664785,NA,202572,NA,602237,2301740,3501980
Q9NRD9,DUOX1_HUMAN,DUOX1,Dual oxidase 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1958640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9NRF2,SH2B1_HUMAN,SH2B1,SH2B adapter protein 1,40620.8,72594.3,72849.5,NA,70500.8,119685,61678.3,53727.2,48249.3,78391.8,59247.8,65890.4,96629.1,72445.1,132700,115882,37517.6,45804.8,50714,NA,71213.7,86850,116749,78482.5,57728.3,96055.5,98193.3,151344,92984.9,NA,96513.5,NA,NA,97767.7,NA,41268.8,41451.3,61597.4,201681,191976
Q9NRF8,PYRG2_HUMAN,CTPS2,CTP synthase 2,8701700,10478200,9763040,8077050,10214100,7944530,7988870,8001780,11005100,7941120,10115300,7106730,11294900,20547300,10475600,11735300,8824250,13156800,9639170,8762060,9489550,7487330,11436800,14397900,7944620,13921600,8101690,17226800,9840960,11796100,11767200,15119500,9363940,25521700,11450100,19256700,8667040,16220100,11793000,10173500
Q9NRG0,CHRC1_HUMAN,CHRAC1,Chromatin accessibility complex protein 1,16621.5,22650.8,24002.4,24199.9,37569.6,NA,37202.3,NA,32524.6,29199,32600.8,NA,NA,NA,NA,NA,17335.1,43365.6,24427.1,NA,NA,NA,26329.3,NA,NA,23222.5,74665.2,24542.6,17582.8,NA,NA,NA,NA,NA,NA,NA,32975.3,NA,NA,NA
Q9NRG1,PRDC1_HUMAN,PRTFDC1,Phosphoribosyltransferase domain-containing protein 1,1208220,829901,1304210,865625,496226,720438,1383940,1299200,1722380,1014270,1252190,936433,2685660,1727940,1525370,1195440,2102770,1502180,1034710,1031010,931249,778987,2164730,1367080,1629270,1562390,1035200,984805,1897450,NA,2449090,929958,1909360,1382920,1867400,1203410,1970640,1605850,1969430,1412550
Q9NRG7,D39U1_HUMAN,SDR39U1,Epimerase family protein SDR39U1,1112330,5613980,2707900,11690200,2298520,9906900,1541540,5280850,1849130,7248880,2133160,9090240,1516110,8121390,2051560,9836940,4374220,24180200,2032480,8078840,1769970,6821860,2949490,7812280,3676910,23168400,3477440,28912800,5528520,7134680,2287060,4608570,NA,NA,1773620,4995730,2675540,12162900,4845660,12294100
Q9NRK6,ABCBA_HUMAN,ABCB10,"ATP-binding cassette sub-family B member 10, mitochondrial",NA,895476,NA,213970,NA,776069,NA,381766,NA,820393,NA,1132600,NA,2191470,NA,872749,NA,401710,NA,979332,NA,1407790,NA,129094,NA,1675050,NA,903669,NA,NA,NA,NA,NA,1377640,NA,NA,NA,NA,NA,1312130
Q9NRL3,STRN4_HUMAN,STRN4,Striatin-4,NA,538637,NA,NA,NA,NA,NA,NA,406663,465829,NA,NA,NA,NA,NA,NA,NA,1363200,NA,576298,NA,414942,NA,NA,430664,796476,539180,1181010,524020,981364,NA,869702,NA,NA,NA,NA,NA,NA,1398410,2090840
Q9NRN5,OLFL3_HUMAN,OLFML3,Olfactomedin-like protein 3,NA,358114,NA,146272,NA,188945,NA,622046,NA,104357,176337,368321,51927.7,NA,68583.5,378062,46467.4,125881,NA,284971,151253,685751,NA,360543,176217,310016,NA,316193,NA,NA,NA,324966,NA,NA,NA,296048,54146.9,NA,NA,NA
Q9NRN7,ADPPT_HUMAN,AASDHPPT,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,5908580,5475980,11498900,9738200,10089900,7835820,9071620,8111460,9335940,7077730,11470100,7970870,4859840,6697050,10431200,8319020,12985400,10119000,9667530,6709660,5984680,5345400,11415100,8842770,7925480,6824730,10908200,9053820,11469400,4651160,6855520,8905640,4462980,6386210,3258200,4625270,9712140,9462980,14646000,9172640
Q9NRN9,METL5_HUMAN,METTL5,rRNA N6-adenosine-methyltransferase METTL5,557490,365135,789571,501655,721932,530598,594203,687714,771014,477132,869792,636710,886401,749294,407415,320671,514078,335040,510828,267425,496159,444563,666874,701761,436518,NA,409191,328714,392856,NA,NA,761118,NA,296447,585699,708318,363137,549872,576745,358063
Q9NRP0,OSTC_HUMAN,OSTC,Oligosaccharyltransferase complex subunit OSTC,NA,NA,NA,NA,NA,452268,NA,NA,NA,NA,NA,677859,NA,NA,NA,299053,NA,NA,NA,1356670,NA,NA,NA,NA,NA,1140440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9NRP2,COXM2_HUMAN,CMC2,COX assembly mitochondrial protein 2 homolog,NA,471918,NA,554716,NA,400691,NA,75942.5,NA,285945,NA,295774,NA,818440,NA,326720,NA,403004,NA,579598,NA,304594,NA,428986,NA,517283,167370,657031,NA,665352,NA,NA,73249.3,399731,NA,NA,NA,448847,NA,675513
