Protein.Group,Protein.Names,Genes,First.Protein.Description,PD2_F1,PD2_F2,PD3_F1,PD3_F2,PD5_F1,PD5_F2,PD13_F1,PD13_F2,PD14_F1,PD14_F2,PD1_F1,PD1_F2,PD7_F1,PD7_F2,PD9_F1,PD9_F2,PD10_F1,PD10_F2,PD12_F1,PD12_F2,CON4_F1,CON4_F2,CON5_F1,CON5_F2,CON6_F1,CON6_F2,CON7_F1,CON7_F2,CON8_F1,CON8_F2,CON10_F1,CON10_F2,CON12_F1,CON12_F2,CON13_F1,CON13_F2,CON14_F1,CON14_F2,CON15_F1,CON15_F2
P27694,RFA1_HUMAN,RPA1,Replication protein A 70 kDa DNA-binding subunit,2157800,4651890,7040080,9182920,7608130,7127040,7288550,10088100,6680700,7426050,8668670,8645520,3377850,4317600,7563630,10500100,11686100,10069400,8779180,10106800,4010930,7993980,9497160,9082420,4511840,4467200,10704900,7821420,10088400,6711310,7321410,6262590,3235420,3962950,3086590,3754550,5372290,6676050,10462500,6463780
P27695,APEX1_HUMAN,APEX1,DNA repair nuclease/redox regulator APEX1,15502400,18379500,17759300,15812600,18917000,13022800,20230400,19444500,23390400,16969200,14688000,11161700,18212600,17592200,20845400,15570400,17903800,14770600,23066500,17768600,20988100,17402500,31159200,17632600,18950300,15595000,15845600,11112600,19604800,14250400,31915100,20712500,14754400,16359900,18231100,18107400,22022600,24254500,15151300,10531900
P27701,CD82_HUMAN,CD82,CD82 antigen,12063400,49255800,5291790,31552000,4729290,31230500,7696520,31727100,8278080,32935200,5023840,25511700,15886700,42803900,11803000,64478100,7176380,21024000,9732790,34419900,15471600,40278200,13192200,62454800,7967420,23157200,3331290,27067000,6105600,81383100,7875960,50817100,13227400,45232000,24932100,60765000,21004000,59774500,1293860,12783600
P27707,DCK_HUMAN,DCK,Deoxycytidine kinase,NA,NA,NA,311393,367763,439063,NA,421979,330551,380728,373664,383588,NA,NA,302980,395328,137288,322898,217731,403590,NA,227363,NA,NA,235389,281709,637852,475555,313402,NA,NA,NA,NA,NA,NA,NA,NA,NA,953107,770311
P27708,PYR1_HUMAN,CAD,Multifunctional protein CAD,86168.8,191198,89870.4,131408,219732,379980,93971.3,141970,178442,330517,207257,423711,NA,112555,117886,191868,NA,135962,168683,431008,128144,260728,NA,63913.7,110100,127825,398577,158019,114811,NA,NA,141045,NA,NA,NA,134981,104980,121212,72174.7,218728
P27797,CALR_HUMAN,CALR,Calreticulin,9176690,54470000,22371000,135438000,24765200,147474000,30278600,124343000,18261600,102255000,36836000,140712000,6309330,47563300,32639500,149565000,27001700,161395000,25187600,159487000,25953200,98913900,42677700,121397000,17459200,133302000,46445800,183723000,49258500,197020000,24757300,112602000,8137270,78083200,5966140,25533800,23525400,118216000,31879500,168114000
P27815,PDE4A_HUMAN,PDE4A,"3',5'-cyclic-AMP phosphodiesterase 4A",NA,NA,NA,NA,NA,69524.7,NA,NA,67722.5,NA,97071.7,51079.4,NA,NA,43489.8,NA,52699.9,73135.7,NA,NA,NA,117728,NA,NA,NA,57741.6,48566.4,129606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189076,157865
P27816,MAP4_HUMAN,MAP4,Microtubule-associated protein 4,35166800,40842200,37490900,37144200,31317800,28816100,39708000,43306200,38747200,34735900,28406300,26423600,44498900,45895100,38494400,34575900,19980400,22241300,33770000,36972800,31209400,32870500,89982200,78970700,26890700,26783100,35686600,34376600,38775900,40804300,85495400,59601000,26563300,31548000,60494000,66025200,39058400,43297100,27064000,20546100
P27824,CALX_HUMAN,CANX,Calnexin,2298800,63589600,6531640,110171000,3516420,120466000,9505540,105456000,6465900,120230000,5307630,144225000,5741690,59926100,3357360,109983000,5370070,90316700,3594460,110072000,6023260,98132400,2282310,57264400,3542610,70594600,21317000,119508000,5233130,125105000,8437330,38157100,4127190,61156000,2872230,25729400,4208270,76782400,11746400,189341000
P27986,P85A_HUMAN,PIK3R1,Phosphatidylinositol 3-kinase regulatory subunit alpha,659316,598078,1712470,1309920,1967400,1757870,1503480,1344080,1675950,1192980,2409360,1794430,814590,896810,1821960,2192560,1855860,1853660,2218400,1980240,1397070,1523690,1688060,1181920,1359640,1331610,1715800,1651090,2467640,1189040,1636640,773700,655195,1095490,NA,NA,805120,854823,3451670,1830570
P27987,IP3KB_HUMAN,ITPKB,Inositol-trisphosphate 3-kinase B,364652,515234,626822,660626,393052,619675,457025,601527,357918,567009,NA,614820,NA,315369,213257,NA,NA,NA,350951,602137,NA,402423,159382,NA,NA,321422,303858,432423,463973,NA,273451,NA,NA,435693,NA,NA,236034,349603,882274,851021
P28062,PSB8_HUMAN,PSMB8,Proteasome subunit beta type-8,5459870,4931440,7011150,5594800,7792410,4857480,6325700,5632810,8276550,4461540,6923210,5186620,5656790,5384520,5364830,4139640,5543680,5390160,6149320,6089090,8578590,6419930,5196890,4999840,5204400,4391740,5642200,2913060,7216680,NA,4039110,5383100,7484400,4949530,8081320,5244650,6777180,5366250,6434280,3259260
P28065,PSB9_HUMAN,PSMB9,Proteasome subunit beta type-9,4895000,5105820,6752550,5449980,6210630,4209260,5257900,4373070,7618560,4143600,6233930,3060510,4912900,4626880,4978060,3727700,4895400,3692700,5833360,5663190,7048820,6043850,4051690,3729000,3926990,3049670,3705630,1909840,5853220,5091020,7399460,4731130,7059050,5292140,5656940,4456770,5866480,4575080,5374280,3066950
P28066,PSA5_HUMAN,PSMA5,Proteasome subunit alpha type-5,63052800,56863700,60693000,54609800,49320600,36607000,54328100,48857100,69207200,44314000,54546800,42905700,80501400,70990800,50873600,44069700,64552900,51775800,51433100,43912400,66294600,59380100,65938500,57003200,73499500,54625600,55486700,32705000,57929400,43395000,67971900,48814800,86006500,69660100,91566300,68700900,77935500,68249800,63809000,37638300
P28070,PSB4_HUMAN,PSMB4,Proteasome subunit beta type-4,40330500,34192700,36751700,35881100,31714100,25264300,37450400,28025200,43239400,26809800,39390600,34524200,59490800,41485900,38142000,26768400,38744300,32597700,33080400,28304800,33209800,30837200,35948300,35254900,46959500,29837300,39235000,20268400,42767500,27256800,55739600,32382200,44365400,35351200,48475900,50387300,40534800,31588600,45182500,20338600
P28072,PSB6_HUMAN,PSMB6,Proteasome subunit beta type-6,37794500,37067600,33674100,35087000,25819200,21867400,31819800,28406500,43246600,25178500,31735100,27666300,60688800,44388800,37078800,28345700,43317900,33743300,25507500,27779700,40649100,37610700,39013800,34095000,47436500,34148900,33511400,21642400,37654400,31366000,60740300,31256100,54762900,44124000,61746500,44495000,50041100,40352500,43370400,23482000
P28074,PSB5_HUMAN,PSMB5,Proteasome subunit beta type-5,47801300,38601000,47227800,41127500,34738900,26867900,40675600,34909700,49467100,29414000,39269800,30592400,63226100,48889400,41381700,27313700,54258500,33403400,34693100,29823400,45124500,43069700,44169400,44584700,52383200,37768600,34168800,24280400,39868700,21589200,57281200,36477200,61235600,50225200,62467500,49272500,64207300,43784700,48344100,28644300
P28161,GSTM2_HUMAN,GSTM2,Glutathione S-transferase Mu 2,174472000,141052000,328457000,234975000,297875000,190457000,356215000,240009000,272769000,165882000,478215000,277333000,357723000,243956000,393863000,248727000,422557000,272042000,339720000,241108000,299154000,166135000,354731000,164750000,323662000,266930000,323641000,185714000,406671000,191425000,322586000,124482000,295104000,251537000,366008000,201978000,344496000,235275000,419268000,235060000
P28222,5HT1B_HUMAN,HTR1B,5-hydroxytryptamine receptor 1B,NA,24715.4,NA,NA,NA,26000.2,NA,21361.3,NA,40098.4,NA,46467.5,NA,40125.6,NA,29549.1,NA,30217.8,NA,17310.5,NA,30560.5,NA,21961.8,NA,54177.9,NA,19230.7,NA,NA,NA,19357.5,NA,9928.95,NA,18282.9,NA,20474.7,NA,21670.9
P28288,ABCD3_HUMAN,ABCD3,ATP-binding cassette sub-family D member 3,NA,411868,NA,362978,NA,658049,NA,640177,NA,735044,NA,795602,NA,659356,NA,673970,NA,992840,NA,621517,NA,823708,NA,484807,NA,775039,737115,943160,NA,NA,NA,NA,NA,NA,NA,NA,NA,418389,NA,2502460
P28289,TMOD1_HUMAN,TMOD1,Tropomodulin-1,2252510,8036520,3155440,4969370,2749330,3070400,4683610,8233940,3935600,5248380,5239950,5138680,9749000,14865200,6350970,11953500,11232700,11565000,4500180,5753100,3903570,6132850,3846030,11776700,7899990,13587000,7207610,13812100,9983750,10234600,6991160,12088300,9461460,16305800,5886550,11052600,6935930,13110000,10767200,12567000
P28290,ITPI2_HUMAN,ITPRID2,Protein ITPRID2,110366,NA,126602,238146,119706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33968.3
P28329,CLAT_HUMAN,CHAT,Choline O-acetyltransferase,1389550,950176,NA,NA,798913,353533,593911,691105,365976,NA,963807,653389,3719100,3015420,5234360,3133380,11855900,9598850,584925,NA,893627,NA,4058080,2809940,5666460,5134570,6206960,5172270,10285000,4272860,5498140,4151290,11864800,8607880,1626660,1357880,12323600,9483770,9817760,5791990
P28330,ACADL_HUMAN,ACADL,"Long-chain specific acyl-CoA dehydrogenase, mitochondrial",NA,NA,582848,1061750,NA,NA,444221,404128,419616,637205,352290,594533,NA,NA,NA,NA,213190,247579,521165,540153,203852,363173,181204,355044,NA,NA,NA,NA,230983,NA,NA,NA,NA,NA,209121,NA,NA,NA,NA,NA
P28331,NDUS1_HUMAN,NDUFS1,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial",1807350,47242800,3607960,22936700,2764600,51701900,3343060,23453400,2577860,46061800,3948650,54384200,7419660,125408000,5647780,50925600,4516870,58043400,4524900,52749000,6972690,49358500,5188320,10166400,4302040,90811900,6798620,81650500,5874760,68521500,6570780,11939900,3292980,85819900,5955750,18969200,3241060,53769700,11579700,97197800
P28370,SMCA1_HUMAN,SMARCA1,Probable global transcription activator SNF2L1,29972.3,NA,NA,NA,99107.8,58593.3,38099.8,109584,NA,NA,NA,89241.4,NA,NA,NA,NA,61251.9,71102.8,91250.9,NA,NA,78343.8,74651.8,78334,NA,NA,NA,51149.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,90229.2,NA,79404
P28472,GBRB3_HUMAN,GABRB3,Gamma-aminobutyric acid receptor subunit beta-3,NA,1867900,NA,475468,NA,716297,NA,1123960,NA,875360,NA,740650,NA,3086560,NA,1454870,NA,1973790,NA,635526,NA,1092860,NA,981366,304716,2007620,NA,1811830,NA,2063510,NA,782131,NA,2616720,NA,908414,NA,1373740,NA,2551440
P28482,MK01_HUMAN,MAPK1,Mitogen-activated protein kinase 1,168772000,355271000,177957000,303966000,193808000,204534000,203937000,334234000,218022000,242171000,200383000,228185000,168341000,288136000,179013000,245513000,195208000,247366000,189337000,235690000,273770000,313928000,191163000,362397000,232413000,331220000,138449000,210045000,150495000,147831000,152483000,413536000,187151000,351976000,207664000,372433000,161474000,320721000,165705000,189902000
P28676,GRAN_HUMAN,GCA,Grancalcin,6173820,9856200,6348460,12019800,7257890,13527000,6240170,13851800,5272300,10618800,7318390,12489600,7727500,10853900,7936100,10826300,8446950,10494300,6968570,12329600,6321750,10398800,12815000,18212800,5559010,7794980,6827960,9329230,8427240,7004730,14551700,16532900,6457550,10548300,7044920,11996900,10967200,11649100,6708230,8872940
P28702,RXRB_HUMAN,RXRB,Retinoic acid receptor RXR-beta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29922.3,NA,NA,NA,121919,NA,NA,NA,62039.7,NA,NA,NA,NA,NA,NA,24545.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P28827,PTPRM_HUMAN,PTPRM,Receptor-type tyrosine-protein phosphatase mu,156469,555595,278028,632009,449291,434770,326931,636571,375887,258599,568179,1284550,465965,918002,390612,1532960,554234,1833320,538082,1232370,NA,1324260,300620,921509,NA,349416,238287,796198,377463,NA,416644,NA,375795,678395,362562,386552,371389,572295,654456,818294
P28838,AMPL_HUMAN,LAP3,Cytosol aminopeptidase,47110900,45897800,85390100,68356600,85984800,63084400,61965200,54834800,56523100,39248100,67836000,44031100,60589100,52109200,56639700,46468900,66134000,52346000,78544600,62964800,85163300,58139800,53940400,39471800,40554500,35430400,29938200,27059900,55717300,40160600,53588700,36606500,68098000,63454000,58447600,52613400,73967800,60246600,60167900,42655300
P28845,DHI1_HUMAN,HSD11B1,11-beta-hydroxysteroid dehydrogenase 1,NA,1940360,NA,3181300,NA,1139860,NA,2965850,NA,2194000,NA,1567440,NA,2165960,NA,2943640,NA,2105720,NA,2149860,NA,2460780,NA,2615230,NA,965555,NA,661043,NA,NA,NA,NA,NA,1284220,NA,635505,NA,1309630,NA,1787160
P28907,CD38_HUMAN,CD38,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,NA,11605900,NA,15513600,723661,27973700,NA,8662070,707674,17212600,1252250,19483800,NA,14221300,NA,18776400,NA,10820600,1482890,30709900,NA,7217840,NA,9349300,NA,8161620,NA,10296300,NA,7281290,NA,11928300,NA,16442200,NA,7050410,NA,10348600,870100,24609800
P29034,S10A2_HUMAN,S100A2,Protein S100-A2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,632776,NA,2116600,NA,1127520,NA,NA,NA,NA,NA,231530000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P29120,NEC1_HUMAN,PCSK1,Neuroendocrine convertase 1,948631,4531370,779008,3042560,645745,2961880,485601,1876810,980848,3777660,1461890,4847070,1628320,7994180,587128,3384810,1542030,4389460,544173,1938500,431485,1444060,845926,2706180,1532750,5582580,1157520,4625570,1438830,1888630,777219,3354250,1744940,8537550,1811690,5396800,2286910,7338440,2146140,6705420
P29144,TPP2_HUMAN,TPP2,Tripeptidyl-peptidase 2,10056400,12915100,11230300,14134600,6928170,8802940,8229700,11713000,8226190,7262590,6554030,6773530,13898500,16219200,7155630,9417770,8251520,9174390,7118640,9824720,9010540,11142600,9872750,16648400,8155670,9254280,7000950,8545140,9078250,9343600,13057900,17038600,12497000,15015300,14129100,18251800,10603000,13671200,8276130,6338710
P29218,IMPA1_HUMAN,IMPA1,Inositol monophosphatase 1,112962000,87265300,183897000,148892000,127812000,79366900,99680900,74085900,122489000,68063000,95145400,52982500,149646000,85783400,99024600,72925500,120164000,84408500,146512000,109194000,115279000,74538800,133205000,75889700,108772000,71567400,65722500,47906600,92375500,57477000,188233000,85057900,136928000,96921100,178065000,110508000,120548000,86382500,96644000,56988400
P29274,AA2AR_HUMAN,ADORA2A,Adenosine receptor A2a,NA,1007560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1319720,NA,1326040,NA,1368770,NA,NA,NA,NA,NA,436325,NA,1649130,NA,2100250,NA,NA,NA,919430,NA,1927960,NA,452749,NA,1614970,NA,2918870
P29317,EPHA2_HUMAN,EPHA2,Ephrin type-A receptor 2,NA,2834680,1806840,3832140,1813320,3726840,1342540,NA,1291210,3245120,NA,3967470,NA,2558560,NA,NA,NA,NA,NA,3909540,NA,3101990,NA,3735360,NA,3074290,2991780,4057210,538553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6719270
P29323,EPHB2_HUMAN,EPHB2,Ephrin type-B receptor 2,452707,2528440,1944590,4453340,1230070,3981580,1394520,2583420,1990850,3666160,1419490,3084930,904790,2018410,1387350,3986180,NA,2832990,2258670,3911150,NA,2092130,1130290,3761440,NA,2355410,NA,3986440,700543,2468080,1922550,2553650,NA,4049660,1446530,2634010,NA,2396290,1093570,8733830
P29350,PTN6_HUMAN,PTPN6,Tyrosine-protein phosphatase non-receptor type 6,NA,NA,NA,NA,NA,NA,NA,NA,NA,35388.6,NA,33006.3,NA,NA,NA,NA,NA,NA,27135.7,32580.4,NA,NA,NA,NA,NA,NA,40425.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80597.1,58357.6
P29353,SHC1_HUMAN,SHC1,SHC-transforming protein 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19508.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7418.84,17451.1,47569.5,26637.1,14311.2,NA,NA,8785.24,NA,NA,NA,NA,NA,NA,9808.89,NA
P29372,3MG_HUMAN,MPG,DNA-3-methyladenine glycosylase,50592.5,146267,66940.1,118286,60264.8,56592.3,68975.7,182144,55530.2,101863,70022.7,65029.6,52091.2,124324,76869.5,95090.8,48159,127339,63256.7,65759.8,77000.9,82789.5,112715,273190,47151.2,157712,55215.4,114223,44487.1,213154,100635,193284,NA,100476,89780,200254,46305.2,124908,NA,56863.2
P29373,RABP2_HUMAN,CRABP2,Cellular retinoic acid-binding protein 2,5063650,6713900,20052600,14442100,23882800,15438100,7760670,4760230,10886600,6477310,16104200,11047800,22426100,15378100,14122400,9346690,21451000,14804400,11340400,7678910,10937800,5262290,11882200,6947090,15744500,13410400,68819300,8009380,17237100,NA,13150500,7221160,23009100,22627500,12712500,7912080,17024700,12865500,21683600,10496500
P29401,TKT_HUMAN,TKT,Transketolase,768370000,578373000,793467000,611172000,809914000,591661000,933364000,683171000,934056000,505304000,829420000,500939000,937609000,597112000,727660000,479252000,655391000,489821000,1023120000,702028000,848112000,546647000,927457000,498621000,672792000,521331000,427328000,322363000,621776000,545191000,1080390000,628468000,997398000,737688000,813526000,599420000,798554000,576230000,669931000,405664000
P29474,NOS3_HUMAN,NOS3,Nitric oxide synthase 3,NA,NA,NA,NA,NA,NA,NA,93957.2,NA,NA,NA,114252,NA,NA,NA,103166,NA,NA,NA,NA,NA,120978,NA,NA,NA,97047,NA,139057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129005
P29475,NOS1_HUMAN,NOS1,Nitric oxide synthase 1,1218370,1521170,2956120,2386900,1938060,1804040,3745410,3872740,2498280,2006780,4836380,3792500,2718720,2975970,3857850,3362210,9698670,8155300,1341900,956736,3136650,3280170,5121770,4398420,6494220,6187730,10928600,8565520,6498570,3959520,3294270,3226120,2076930,3017330,1604580,1628410,7204520,7552110,12277200,9983010
P29508,SPB3_HUMAN,SERPINB3,Serpin B3,NA,3402640,NA,1494330,NA,NA,1774510,NA,1842010,805174,NA,9488480,828466,NA,2756760,NA,1855800,1509030,1900100,2871640,2377880,2269930,1230640,1211760,766891,1309580,344013000,11587700,1794500,NA,NA,3051210,2247900,3948670,2843670,NA,NA,967120,NA,1577930
P29536,LMOD1_HUMAN,LMOD1,Leiomodin-1,NA,5897370,1184410,10097100,2292310,3164590,10234000,57480400,10124700,35425800,6362660,19643000,1211290,3948390,1686360,14487700,4926190,10971500,7756120,8172460,5824250,23694600,3615930,20559100,1967470,16405100,1698910,12167400,4620920,3893930,NA,8272240,1857580,NA,2460220,4157830,NA,3251770,3329730,16179100
P29558,RBMS1_HUMAN,RBMS1,"RNA-binding motif, single-stranded-interacting protein 1",NA,181534,NA,333041,NA,271291,NA,140635,NA,223518,NA,160011,NA,NA,NA,NA,NA,279094,NA,223266,NA,NA,NA,NA,NA,NA,251768,390246,NA,NA,NA,437264,NA,NA,NA,NA,NA,NA,NA,287667
P29590,PML_HUMAN,PML,Protein PML,229624,281169,294065,NA,NA,NA,137398,337128,NA,427749,279119,368891,119059,NA,221408,408589,257382,NA,NA,258928,NA,367597,156811,310983,NA,337143,1143720,281415,350017,NA,NA,NA,234299,NA,NA,NA,224278,NA,233560,270667
P29622,KAIN_HUMAN,SERPINA4,Kallistatin,7778820,7916590,13369700,11828600,7930400,5044710,5980480,4318820,13897600,7160720,4042860,NA,16966000,10299500,4377040,3122070,12599400,7807410,6339870,6522490,27517000,13520600,3193100,NA,8480150,4788020,5737690,NA,5993700,NA,NA,NA,NA,NA,22688700,19367700,6430690,NA,NA,NA
P29692,EF1D_HUMAN,EEF1D,Elongation factor 1-delta,15803200,16140400,29594700,26664400,31817200,24120800,24428800,23048800,30437300,19362400,31517100,17746500,8219110,10732600,29829700,25941600,26320200,20880800,28500900,23336700,24852700,21736500,27359100,25525800,22867200,17363400,41587100,16878300,30608900,8916960,38382300,22357100,13307100,14092100,6472060,8946310,20006100,17377700,29818100,20109400
P29728,OAS2_HUMAN,OAS2,2'-5'-oligoadenylate synthase 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143389,237316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P29762,RABP1_HUMAN,CRABP1,Cellular retinoic acid-binding protein 1,1905610,2346560,33531600,24944700,48325300,27340300,7033420,4512720,11159400,6835110,19637000,12029100,5748560,5121920,13442900,8289560,23510300,14260500,16107900,11049900,8442360,4816430,10309000,5670030,11914300,9325660,13286900,8998990,15802100,4644200,7468750,3799460,5281970,6717540,2119980,1876200,13373700,10395700,19679100,10829200
P29966,MARCS_HUMAN,MARCKS,Myristoylated alanine-rich C-kinase substrate,141866000,574577000,269982000,598628000,232531000,577344000,168484000,460751000,239703000,600067000,145188000,330107000,123975000,347456000,121298000,386167000,72078600,232340000,132210000,381665000,201798000,612432000,140372000,496381000,139681000,324535000,79867500,322902000,96902900,565002000,119727000,395266000,114888000,309066000,173788000,475868000,99385700,261943000,88390100,271065000
P29972,AQP1_HUMAN,AQP1,Aquaporin-1,NA,60718500,2183610,73649000,2720010,112273000,1952820,77455400,2659560,118246000,834371,50325900,NA,43034800,NA,54063200,855288,54066000,1510440,53602200,NA,24813900,2040780,58368400,597699,34066200,486144,46500500,2583320,105983000,1873530,57262400,790490,73060700,1389490,51807300,1118300,56797900,1301580,133245000
P29992,GNA11_HUMAN,GNA11,Guanine nucleotide-binding protein subunit alpha-11,2630100,33016700,9401840,36488800,5182270,44203000,7347550,38826300,5849660,39299600,7531120,42960600,NA,21500000,4127810,37783700,7561090,28404200,8248460,45977400,5537690,35129800,8828630,35201600,5800000,32444900,8507480,43186800,5824350,27595900,4763580,29214600,NA,23308300,NA,13588200,3133010,28391900,18561300,52428400
P30038,AL4A1_HUMAN,ALDH4A1,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial",64132100,84277400,128236000,158774000,111347000,114533000,75497600,81130300,76887800,88692900,102047000,107404000,127281000,139191000,67368500,75084100,75891200,77776500,64003100,76519600,70281000,76353300,114826000,102891000,62839500,95290700,34484800,62527200,97598400,88261800,139131000,106466000,102685000,143413000,146224000,148884000,101254000,120367000,83668100,70239900
P30039,PBLD_HUMAN,PBLD,Phenazine biosynthesis-like domain-containing protein,5336450,3750420,7371430,5531920,5547910,4112580,4019010,3261780,4280840,2025320,4045780,2387850,5587270,3623250,3568040,2390880,3669750,2852860,6579190,4564590,4011260,2311400,3801490,2118950,3203000,2441600,1840560,1397870,4121050,3108980,4961660,3089500,3173110,3058190,5006170,4497030,4080020,3209930,4575230,2571170
P30040,ERP29_HUMAN,ERP29,Endoplasmic reticulum resident protein 29,20648900,133130000,18889400,131809000,16619100,113001000,20927200,124736000,15879000,91569000,20302100,94100400,24683900,170365000,16882100,90571900,12389600,97415000,13538700,82582900,25004600,102171000,26635200,105864000,14893500,131796000,19108500,113376000,17074100,100957000,39610300,146230000,19980500,207610000,25370500,188040000,20496600,151973000,14631200,74134200
P30041,PRDX6_HUMAN,PRDX6,Peroxiredoxin-6,958599000,617014000,1126690000,688930000,1201620000,596180000,1184270000,657432000,1129380000,484627000,1187280000,752897000,1150810000,649042000,839612000,466436000,925669000,441675000,1157340000,712895000,1026800000,546273000,1052140000,564553000,668073000,425695000,579366000,293560000,888714000,470673000,1160510000,498175000,967745000,865676000,1017480000,583816000,1077980000,650821000,886641000,509127000
P30043,BLVRB_HUMAN,BLVRB,Flavin reductase (NADPH),72526500,52077700,160570000,84556700,127088000,69617000,139999000,75590600,140339000,72537100,180403000,83263500,71881500,39847600,96654100,59576100,123949000,61587900,164862000,84808800,219550000,93566200,97447400,44855400,75506400,50164400,92430500,61795800,144047000,51245700,67807200,47296300,149456000,108562000,55472700,33279700,132157000,77810300,135361000,91054000
P30044,PRDX5_HUMAN,PRDX5,"Peroxiredoxin-5, mitochondrial",268572000,470615000,511353000,826936000,444008000,636082000,289261000,467934000,448513000,585414000,413116000,598144000,394115000,765084000,441914000,676814000,548026000,709213000,468079000,589187000,364329000,551581000,554138000,656854000,442220000,1106020000,357288000,921333000,503068000,1302400000,632318000,797998000,436990000,1183890000,326155000,586345000,472098000,917956000,545860000,571507000
P30046,DOPD_HUMAN,DDT,D-dopachrome decarboxylase,151574000,114702000,167104000,123237000,135856000,103030000,155251000,102956000,145448000,89940200,145359000,91840900,297320000,142992000,144009000,83162200,137581000,90337300,152881000,119843000,160657000,107685000,190542000,124400000,177610000,115639000,137673000,78274200,169798000,104696000,115751000,127694000,169836000,143454000,150775000,102431000,174112000,131321000,131405000,70046800
P30047,GFRP_HUMAN,GCHFR,GTP cyclohydrolase 1 feedback regulatory protein,2147660,1347460,2743310,1283400,1831610,1326650,2279070,1439040,2839040,1374670,2331480,1464450,1454130,788012,1278530,814449,1860690,892157,2309950,1306920,2697200,1221770,2611370,883593,1619020,996298,889026,597777,971299,NA,NA,952423,1798760,854398,2472450,1523440,1872010,1273750,1001660,439904
P30048,PRDX3_HUMAN,PRDX3,"Thioredoxin-dependent peroxide reductase, mitochondrial",136884000,1249290000,128781000,1395850000,179246000,853784000,132028000,807766000,198321000,984501000,166616000,854779000,289652000,1963030000,163396000,987715000,102073000,1251400000,112978000,727076000,150327000,918129000,139104000,1053210000,198961000,1478020000,132269000,1319500000,249953000,1025310000,177746000,1325710000,189784000,2804220000,326097000,1381010000,288489000,1411970000,278015000,688384000
P30049,ATPD_HUMAN,ATP5F1D,"ATP synthase subunit delta, mitochondrial",22358700,258891000,18423600,258993000,8512150,229788000,11998200,143738000,15415900,153584000,13453700,240541000,19928000,602892000,16863000,264375000,15271300,209706000,14409500,223256000,13425600,179135000,19001900,95785200,23162200,295962000,13161400,164069000,14504800,248300000,33937400,275457000,20533700,685531000,39368000,270354000,27676800,310935000,17291900,303863000
P30050,RL12_HUMAN,RPL12,Large ribosomal subunit protein uL11,2048800,123178000,1439420,110965000,13947400,74856200,3141650,100666000,16571800,61336500,14635400,53304800,19189600,94085700,1450850,86910400,13896500,63911100,10113000,85500000,16675900,61588200,1441610,105876000,11038100,79824600,33251800,52365400,9249180,45880700,3191160,80595700,7891180,97401100,4888810,149697000,6276700,79894700,13326400,36480700
P30084,ECHM_HUMAN,ECHS1,"Enoyl-CoA hydratase, mitochondrial",97510800,348791000,131194000,396678000,94159100,256739000,93000100,224885000,98698300,293053000,86065900,253009000,160680000,610940000,92977100,341838000,129933000,388604000,90609400,248352000,97507600,269026000,149633000,332765000,121126000,567750000,78469800,388364000,116189000,247864000,102417000,409819000,136119000,700921000,188198000,460916000,136525000,490805000,72635600,115118000
P30085,KCY_HUMAN,CMPK1,UMP-CMP kinase,3887270,8939880,27122000,19363000,19757200,22084300,22658100,17968800,20307800,18099200,32262000,24177400,6467060,10567000,20608100,18381100,22362500,16426600,27766100,22025200,20641000,18607200,31363000,16055000,12247700,13274800,39851100,23232100,30465700,23385300,16755300,10928300,5796500,11500400,4090490,5013880,10146800,11981900,57488600,34818300
P30086,PEBP1_HUMAN,PEBP1,Phosphatidylethanolamine-binding protein 1,3840150000,2923150000,4848490000,3501980000,3648730000,2528950000,3851400000,2479510000,3846040000,2076770000,3758970000,2245610000,5669790000,3610010000,3735390000,2150050000,3982290000,2619220000,3927490000,2862870000,3801340000,2158820000,4336370000,3039140000,3640770000,2852090000,2731600000,1672280000,3297790000,2701390000,4893080000,3530870000,4288290000,4275790000,6271950000,3760170000,4754360000,3600650000,3458320000,2541530000
